,Star,Reviews,Harga,Shuttle Service,Sports and Recreations,Kids and Pets,Transportation,Connectivity,Accessibilty,Things to Do,General,Public Facilities,Nearby Facilities,Business Facilities,In-room Facilities,Hotel Services,Food and Drinks,Fast Food,Shop & Gifts,Business,Transportation Hub,Casual Dining,Nightlife,Park & Zoo,Public Service,Arts & Sciences,Fine Dining,Sport,Quick Bites,Education,Street Food,Activity & Games,Cafe,Entertainment,Food Court,Sight & Landmark
42,4.0,4,678640,3.0,4.0,0.0,0.0,6.0,9.0,8.0,10.0,15.0,9.0,7.0,10.0,11.0,7.0,10000,245,499,10000,18,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
43,5.0,10,500000,3.0,0.0,9.0,6.0,6.0,4.0,9.0,7.0,15.0,9.0,9.0,12.0,23.0,17.0,10000,10000,10000,629,16,10000,10000,563,10000,10000,10000,10000,507,10000,10000,10000,10000,10000,10000
44,5.0,7,850850,3.0,4.0,0.0,8.0,6.0,4.0,9.0,9.0,14.0,5.0,10.0,9.0,17.0,7.0,107,10000,10000,613,10000,10000,10000,742,363,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
45,5.0,1,2371600,3.0,4.0,4.0,7.0,4.0,0.0,8.0,10.0,13.0,6.0,8.0,12.0,15.0,20.0,10000,10000,144,525,7,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,193
46,5.0,2,3333550,3.0,6.0,0.0,9.0,4.0,0.0,11.0,11.0,14.0,8.0,6.0,13.0,9.0,15.0,10000,85,162,129,7,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
47,4.0,6,675900,4.0,0.0,0.0,4.0,5.0,6.0,4.0,11.0,13.0,3.0,5.0,9.0,15.0,6.0,10000,10000,267,894,10,10000,10000,10000,740,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
48,4.0,4,760000,0.0,0.0,0.0,3.0,0.0,0.0,5.0,8.0,10.0,6.0,5.0,10.0,10.0,8.0,10000,149,884,385,58,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
49,4.0,3,990000,4.0,3.0,0.0,4.0,4.0,0.0,7.0,6.0,13.0,6.0,5.0,8.0,9.0,4.0,10000,10000,10000,214,58,10000,10000,10000,10000,10000,10000,10000,415,10000,10000,10000,10000,10000,372
50,4.0,9,447369,3.0,0.0,0.0,9.0,5.0,5.0,7.0,10.0,13.0,7.0,8.0,8.0,14.0,16.0,10000,10000,10000,538,15,10000,10000,472,10000,10000,10000,10000,402,10000,10000,10000,10000,10000,10000
51,4.0,9,447369,3.0,0.0,0.0,9.0,5.0,5.0,7.0,10.0,13.0,7.0,8.0,8.0,14.0,16.0,10000,10000,10000,538,15,10000,10000,472,10000,10000,10000,10000,402,10000,10000,10000,10000,10000,10000
52,3.0,7,570000,4.0,3.0,0.0,5.0,4.0,0.0,7.0,10.0,12.0,10.0,5.0,10.0,11.0,11.0,10000,563,10000,354,86,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
53,4.0,5,475000,0.0,9.0,0.0,4.0,3.0,0.0,6.0,8.0,6.0,5.0,7.0,9.0,9.0,0.0,10000,361,10000,10000,13,10000,10000,582,10000,10000,10000,10000,142,10000,10000,10000,10000,10000,10000
54,5.0,61,1283013,0.0,0.0,0.0,0.0,5.0,8.0,4.0,12.0,7.0,5.0,3.0,10.0,12.0,0.0,10000,213,349,151,26,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
55,4.0,10,530000,0.0,0.0,0.0,4.0,5.0,3.0,7.0,11.0,13.0,10.0,7.0,10.0,12.0,11.0,10000,254,515,10000,57,10000,10000,10000,10000,10000,10000,10000,10000,10000,501,10000,10000,10000,10000
56,4.0,2,727000,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,8.0,5.0,3.0,10.0,6.0,0.0,10000,41,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10,10000,10000,10000
57,4.0,405,847000,0.0,4.0,0.0,4.0,3.0,9.0,6.0,12.0,12.0,8.0,8.0,10.0,11.0,21.0,10000,317,335,10000,8,10000,10000,787,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
58,4.0,3,432000,10.0,4.0,3.0,11.0,6.0,9.0,9.0,8.0,11.0,10.0,11.0,13.0,21.0,26.0,10000,539,506,10000,19,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
59,4.0,8315,595000,5.0,7.0,2.0,6.0,5.0,7.0,11.0,12.0,16.0,10.0,8.0,10.0,15.0,29.0,10000,203,10000,70,3,10000,10000,10000,10000,10000,10000,10000,784,10000,10000,10000,10000,10000,10000
60,5.0,3430,874999,2.0,4.0,5.0,7.0,9.0,7.0,15.0,11.0,14.0,7.0,9.0,16.0,20.0,27.0,10000,372,210,10000,31,10000,10000,977,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
61,4.0,4399,705000,2.0,3.0,0.0,5.0,7.0,4.0,7.0,10.0,12.0,10.0,6.0,12.0,15.0,17.0,10000,412,268,10000,25,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
62,4.0,4671,605000,2.0,0.0,0.0,6.0,4.0,3.0,3.0,12.0,13.0,8.0,8.0,11.0,12.0,5.0,10000,583,578,729,21,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
63,4.0,2256,722700,0.0,6.0,3.0,2.0,4.0,0.0,9.0,13.0,14.0,8.0,6.0,11.0,14.0,10.0,10000,10000,10000,10000,21,10000,10000,10000,728,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
64,0.0,154,914640,0.0,0.0,0.0,0.0,3.0,2.0,7.0,4.0,5.0,0.0,0.0,11.0,7.0,3.0,10000,640,377,700,58,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
65,4.0,5690,654200,2.0,3.0,0.0,4.0,3.0,3.0,6.0,8.0,10.0,4.0,5.0,8.0,10.0,9.0,10000,475,10000,10000,46,10000,10000,10000,10000,10000,10000,10000,583,10000,10000,10000,10000,10000,10000
66,3.0,4848,675000,0.0,0.0,0.0,0.0,3.0,3.0,3.0,10.0,13.0,9.0,2.0,7.0,10.0,5.0,10000,10000,10000,858,4,10000,10000,10000,253,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
67,3.0,9343,638000,0.0,0.0,0.0,0.0,3.0,4.0,3.0,8.0,12.0,2.0,4.0,9.0,6.0,4.0,10000,10000,10000,591,19,10000,10000,236,10000,10000,10000,10000,326,10000,10000,10000,10000,10000,10000
68,4.0,3808,778000,0.0,3.0,3.0,5.0,2.0,5.0,7.0,6.0,12.0,9.0,9.0,8.0,11.0,6.0,10000,535,10000,466,13,10000,10000,738,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
69,4.0,3025,710888,2.0,3.0,0.0,3.0,3.0,6.0,3.0,5.0,10.0,7.0,3.0,8.0,7.0,7.0,10000,389,125,833,9,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
70,4.0,5222,820000,0.0,0.0,0.0,2.0,7.0,7.0,0.0,8.0,14.0,6.0,8.0,11.0,12.0,6.0,10000,10000,10000,408,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,25,842,10000,10000
