,Star,Rating,Reviews,Harga,Shuttle Service,Sports and Recreations,Kids and Pets,Transportation,Connectivity,Accessibilty,Things to Do,General,Public Facilities,Nearby Facilities,Business Facilities,In-room Facilities,Hotel Services,Food and Drinks,Fast Food,Shop & Gifts,Business,Transportation Hub,Casual Dining,Nightlife,Park & Zoo,Public Service,Arts & Sciences,Fine Dining,Sport,Quick Bites,Education,Street Food,Activity & Games,Cafe,Entertainment,Food Court,Sight & Landmark,Rank
32,4.0,8.5,8,700000,3.0,5.0,0.0,5.0,4.0,4.0,8.0,8.0,14.0,9.0,8.0,11.0,17.0,12.0,10000,129,307,189,31,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,33
33,4.0,8.6,3,855000,0.0,3.0,0.0,6.0,4.0,0.0,0.0,10.0,10.0,4.0,6.0,9.0,10.0,0.0,10000,235,374,10000,4,10000,10000,359,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,34
34,5.0,8.7,2,1120944,0.0,0.0,0.0,4.0,4.0,0.0,8.0,3.0,10.0,0.0,5.0,0.0,7.0,4.0,10000,80,161,10000,10000,10000,10000,275,10000,10000,10000,10000,10000,10000,10000,10000,10000,21,10000,35
35,4.0,8.6,4,1077800,4.0,3.0,0.0,6.0,4.0,4.0,5.0,9.0,14.0,9.0,0.0,10.0,11.0,14.0,10000,32,223,346,11,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,36
36,5.0,8.6,353,1635133,0.0,0.0,4.0,5.0,0.0,0.0,7.0,4.0,12.0,3.0,5.0,0.0,5.0,4.0,10000,189,119,198,32,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,37
37,5.0,8.9,1,2420000,3.0,0.0,0.0,9.0,4.0,9.0,4.0,10.0,17.0,11.0,12.0,13.0,17.0,26.0,10000,133,476,904,16,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,38
38,4.0,8.4,7,796180,0.0,7.0,4.0,0.0,3.0,6.0,7.0,7.0,8.0,5.0,11.0,0.0,10.0,5.0,10000,10000,10000,10000,84,10000,307,10000,10000,10000,10000,10000,10000,10000,560,10000,10000,10000,10000,39
39,4.0,8.7,8,690888,3.0,0.0,0.0,4.0,4.0,7.0,0.0,10.0,10.0,6.0,9.0,10.0,11.0,6.0,10000,352,360,636,19,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,40
40,4.0,8.5,1,747780,0.0,3.0,0.0,0.0,4.0,6.0,6.0,6.0,7.0,0.0,4.0,0.0,11.0,7.0,10000,436,244,10000,14,10000,10000,354,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,41
41,4.0,8.6,6,684000,3.0,0.0,0.0,4.0,4.0,4.0,5.0,10.0,14.0,8.0,10.0,10.0,11.0,7.0,10000,330,399,10000,10,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,42
42,4.0,8.6,4,678640,3.0,4.0,0.0,0.0,6.0,9.0,8.0,10.0,15.0,9.0,7.0,10.0,11.0,7.0,10000,245,499,10000,18,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,43
43,5.0,8.4,10,500000,3.0,0.0,9.0,6.0,6.0,4.0,9.0,7.0,15.0,9.0,9.0,12.0,23.0,17.0,10000,10000,10000,629,16,10000,10000,563,10000,10000,10000,10000,507,10000,10000,10000,10000,10000,10000,44
44,5.0,8.5,7,850850,3.0,4.0,0.0,8.0,6.0,4.0,9.0,9.0,14.0,5.0,10.0,9.0,17.0,7.0,107,10000,10000,613,10000,10000,10000,742,363,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,45
45,5.0,9.0,1,2371600,3.0,4.0,4.0,7.0,4.0,0.0,8.0,10.0,13.0,6.0,8.0,12.0,15.0,20.0,10000,10000,144,525,7,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,193,46
46,5.0,8.7,2,3333550,3.0,6.0,0.0,9.0,4.0,0.0,11.0,11.0,14.0,8.0,6.0,13.0,9.0,15.0,10000,85,162,129,7,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,47
47,4.0,8.5,6,675900,4.0,0.0,0.0,4.0,5.0,6.0,4.0,11.0,13.0,3.0,5.0,9.0,15.0,6.0,10000,10000,267,894,10,10000,10000,10000,740,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,48
48,4.0,8.6,4,760000,0.0,0.0,0.0,3.0,0.0,0.0,5.0,8.0,10.0,6.0,5.0,10.0,10.0,8.0,10000,149,884,385,58,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,49
49,4.0,8.6,3,990000,4.0,3.0,0.0,4.0,4.0,0.0,7.0,6.0,13.0,6.0,5.0,8.0,9.0,4.0,10000,10000,10000,214,58,10000,10000,10000,10000,10000,10000,10000,415,10000,10000,10000,10000,10000,372,50
50,4.0,8.6,9,447369,3.0,0.0,0.0,9.0,5.0,5.0,7.0,10.0,13.0,7.0,8.0,8.0,14.0,16.0,10000,10000,10000,538,15,10000,10000,472,10000,10000,10000,10000,402,10000,10000,10000,10000,10000,10000,51
51,4.0,8.6,9,447369,3.0,0.0,0.0,9.0,5.0,5.0,7.0,10.0,13.0,7.0,8.0,8.0,14.0,16.0,10000,10000,10000,538,15,10000,10000,472,10000,10000,10000,10000,402,10000,10000,10000,10000,10000,10000,52
52,3.0,8.5,7,570000,4.0,3.0,0.0,5.0,4.0,0.0,7.0,10.0,12.0,10.0,5.0,10.0,11.0,11.0,10000,563,10000,354,86,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,53
53,4.0,8.0,5,475000,0.0,9.0,0.0,4.0,3.0,0.0,6.0,8.0,6.0,5.0,7.0,9.0,9.0,0.0,10000,361,10000,10000,13,10000,10000,582,10000,10000,10000,10000,142,10000,10000,10000,10000,10000,10000,54
54,5.0,8.2,61,1283013,0.0,0.0,0.0,0.0,5.0,8.0,4.0,12.0,7.0,5.0,3.0,10.0,12.0,0.0,10000,213,349,151,26,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,55
55,4.0,8.3,10,530000,0.0,0.0,0.0,4.0,5.0,3.0,7.0,11.0,13.0,10.0,7.0,10.0,12.0,11.0,10000,254,515,10000,57,10000,10000,10000,10000,10000,10000,10000,10000,10000,501,10000,10000,10000,10000,56
56,4.0,8.5,2,727000,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,8.0,5.0,3.0,10.0,6.0,0.0,10000,41,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10,10000,10000,10000,57
57,4.0,8.5,405,847000,0.0,4.0,0.0,4.0,3.0,9.0,6.0,12.0,12.0,8.0,8.0,10.0,11.0,21.0,10000,317,335,10000,8,10000,10000,787,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,58
58,4.0,8.6,3,432000,10.0,4.0,3.0,11.0,6.0,9.0,9.0,8.0,11.0,10.0,11.0,13.0,21.0,26.0,10000,539,506,10000,19,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,59
59,4.0,8.6,8315,595000,5.0,7.0,2.0,6.0,5.0,7.0,11.0,12.0,16.0,10.0,8.0,10.0,15.0,29.0,10000,203,10000,70,3,10000,10000,10000,10000,10000,10000,10000,784,10000,10000,10000,10000,10000,10000,60
60,5.0,8.8,3430,874999,2.0,4.0,5.0,7.0,9.0,7.0,15.0,11.0,14.0,7.0,9.0,16.0,20.0,27.0,10000,372,210,10000,31,10000,10000,977,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,61
61,4.0,8.5,4399,705000,2.0,3.0,0.0,5.0,7.0,4.0,7.0,10.0,12.0,10.0,6.0,12.0,15.0,17.0,10000,412,268,10000,25,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,62
62,4.0,8.6,4671,605000,2.0,0.0,0.0,6.0,4.0,3.0,3.0,12.0,13.0,8.0,8.0,11.0,12.0,5.0,10000,583,578,729,21,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,63
63,4.0,8.6,2256,722700,0.0,6.0,3.0,2.0,4.0,0.0,9.0,13.0,14.0,8.0,6.0,11.0,14.0,10.0,10000,10000,10000,10000,21,10000,10000,10000,728,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,64
64,0.0,8.8,154,914640,0.0,0.0,0.0,0.0,3.0,2.0,7.0,4.0,5.0,0.0,0.0,11.0,7.0,3.0,10000,640,377,700,58,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,65
65,4.0,8.3,5690,654200,2.0,3.0,0.0,4.0,3.0,3.0,6.0,8.0,10.0,4.0,5.0,8.0,10.0,9.0,10000,475,10000,10000,46,10000,10000,10000,10000,10000,10000,10000,583,10000,10000,10000,10000,10000,10000,66
66,3.0,8.2,4848,675000,0.0,0.0,0.0,0.0,3.0,3.0,3.0,10.0,13.0,9.0,2.0,7.0,10.0,5.0,10000,10000,10000,858,4,10000,10000,10000,253,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,67
67,3.0,8.5,9343,638000,0.0,0.0,0.0,0.0,3.0,4.0,3.0,8.0,12.0,2.0,4.0,9.0,6.0,4.0,10000,10000,10000,591,19,10000,10000,236,10000,10000,10000,10000,326,10000,10000,10000,10000,10000,10000,68
68,4.0,8.6,3808,778000,0.0,3.0,3.0,5.0,2.0,5.0,7.0,6.0,12.0,9.0,9.0,8.0,11.0,6.0,10000,535,10000,466,13,10000,10000,738,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,69
69,4.0,8.5,3025,710888,2.0,3.0,0.0,3.0,3.0,6.0,3.0,5.0,10.0,7.0,3.0,8.0,7.0,7.0,10000,389,125,833,9,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,70
70,4.0,8.7,5222,820000,0.0,0.0,0.0,2.0,7.0,7.0,0.0,8.0,14.0,6.0,8.0,11.0,12.0,6.0,10000,10000,10000,408,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,25,842,10000,10000,71
71,5.0,8.9,2206,2481690,0.0,5.0,3.0,3.0,2.0,3.0,15.0,4.0,6.0,4.0,5.0,0.0,10.0,6.0,10000,146,228,113,45,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,72
72,3.0,8.8,10851,454400,3.0,2.0,0.0,3.0,3.0,0.0,4.0,8.0,12.0,4.0,3.0,9.0,6.0,7.0,10000,43,191,160,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,73
73,3.0,8.3,6238,1144000,6.0,5.0,0.0,5.0,4.0,5.0,5.0,10.0,10.0,6.0,7.0,8.0,12.0,15.0,10000,10000,10000,914,106,10000,10000,10000,10000,10000,10000,10000,10000,10000,909,10000,10000,10000,10000,74
74,4.0,8.4,1775,1486290,2.0,10.0,6.0,3.0,0.0,7.0,5.0,10.0,8.0,9.0,8.0,13.0,12.0,16.0,10000,10000,66,10000,39,10000,10000,971,116,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,75
75,4.0,8.6,8882,540346,2.0,3.0,0.0,4.0,4.0,4.0,7.0,9.0,12.0,9.0,5.0,9.0,11.0,4.0,10000,306,10000,150,50,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,76
76,5.0,9.0,1983,4501200,2.0,3.0,3.0,8.0,5.0,3.0,11.0,12.0,14.0,6.0,12.0,13.0,17.0,17.0,10000,10000,239,10000,10000,10000,10000,10000,172,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,77
77,4.0,8.5,4929,468300,3.0,7.0,0.0,0.0,3.0,0.0,9.0,7.0,10.0,2.0,4.0,10.0,6.0,7.0,10000,560,431,10000,37,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,78
78,4.0,8.2,4540,650000,0.0,0.0,3.0,4.0,3.0,2.0,0.0,9.0,8.0,8.0,5.0,9.0,8.0,9.0,10000,205,206,578,29,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,79
79,4.0,8.7,614,950000,0.0,0.0,0.0,0.0,3.0,4.0,0.0,6.0,5.0,2.0,0.0,9.0,7.0,0.0,10000,816,836,10000,37,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,80
80,3.0,8.4,5052,688710,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,10000,68,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,526,10000,10000,29,10000,10000,10000,81
81,3.0,8.0,12732,382400,0.0,0.0,0.0,0.0,4.0,2.0,4.0,8.0,14.0,9.0,5.0,7.0,9.0,0.0,10000,33,490,37,8,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,82
82,4.0,8.5,4138,807500,2.0,4.0,0.0,6.0,4.0,4.0,8.0,10.0,14.0,6.0,9.0,10.0,18.0,23.0,10000,632,648,291,5,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,83
83,4.0,8.1,807,618000,0.0,0.0,0.0,4.0,3.0,2.0,5.0,6.0,8.0,7.0,4.0,8.0,11.0,4.0,10000,513,698,10000,39,10000,10000,849,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,84
84,2.0,7.9,11026,385200,2.0,0.0,0.0,4.0,3.0,3.0,3.0,5.0,6.0,7.0,6.0,7.0,8.0,0.0,10000,583,10000,10000,40,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,85
85,5.0,8.9,1511,2420000,2.0,0.0,0.0,8.0,3.0,8.0,3.0,9.0,16.0,10.0,11.0,12.0,16.0,25.0,10000,133,476,904,16,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,86
86,4.0,7.8,517,688000,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,6.0,0.0,4.0,6.0,5.0,4.0,10000,261,355,10000,1,10000,10000,489,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,87
87,4.0,8.4,2717,431250,2.0,3.0,0.0,5.0,4.0,3.0,4.0,8.0,12.0,7.0,6.0,8.0,14.0,14.0,10000,49,131,10000,11,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,88
88,2.0,8.3,8445,446400,2.0,0.0,0.0,0.0,3.0,3.0,0.0,7.0,9.0,10.0,4.0,7.0,9.0,0.0,10000,111,613,125,25,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,89
